candle_date_time_kst,market,candle_date_time_utc,open,high,low,close,timestamp,value,volume,unit
2025-01-26 18:30:00,KRW-BTC,2025-01-26T09:30:00,157260000,157300000,157028000,157076000,1737884099920,2368092053.38676,15.07520051,5
2025-01-26 18:35:00,KRW-BTC,2025-01-26T09:35:00,157078000,157189000,157034000,157096000,1737884397514,252975410.60334,1.61044646,5
2025-01-26 18:40:00,KRW-BTC,2025-01-26T09:40:00,157085000,157198000,157021000,157187000,1737884698126,485220365.578,3.08946126,5
2025-01-26 18:45:00,KRW-BTC,2025-01-26T09:45:00,157185000,157198000,157150000,157181000,1737884999210,18536971.06358,0.1179426,5
2025-01-26 18:50:00,KRW-BTC,2025-01-26T09:50:00,157181000,157200000,157110000,157186000,1737885294806,92316186.67534,0.58731618,5
2025-01-26 18:55:00,KRW-BTC,2025-01-26T09:55:00,157186000,157221000,157095000,157176000,1737885584785,129370832.64356,0.82307118,5
2025-01-26 19:00:00,KRW-BTC,2025-01-26T10:00:00,157170000,157245000,157162000,157242000,1737885898217,125428136.22198,0.79794251,5
2025-01-26 19:05:00,KRW-BTC,2025-01-26T10:05:00,157241000,157245000,157183000,157208000,1737886198917,143699596.99896,0.91393701,5
2025-01-26 19:10:00,KRW-BTC,2025-01-26T10:10:00,157208000,157210000,157123000,157127000,1737886496735,144067357.9814,0.91673754,5
2025-01-26 19:15:00,KRW-BTC,2025-01-26T10:15:00,157124000,157127000,157120000,157123000,1737886799173,97789038.85209,0.62236962,5
2025-01-26 19:20:00,KRW-BTC,2025-01-26T10:20:00,157120000,157123000,157100000,157123000,1737887097443,81249604.10333,0.51717157,5
2025-01-26 19:25:00,KRW-BTC,2025-01-26T10:25:00,157123000,157123000,157102000,157115000,1737887394787,72737834.22846,0.46295661,5
2025-01-26 19:30:00,KRW-BTC,2025-01-26T10:30:00,157114000,157127000,157103000,157126000,1737887697943,524548954.89713,3.33848207,5
2025-01-26 19:35:00,KRW-BTC,2025-01-26T10:35:00,157120000,157183000,157120000,157164000,1737887996368,219721549.36819,1.39819131,5
2025-01-26 19:40:00,KRW-BTC,2025-01-26T10:40:00,157164000,157204000,157115000,157115000,1737888286816,173843681.00247,1.10624769,5
2025-01-26 19:45:00,KRW-BTC,2025-01-26T10:45:00,157134000,157153000,157100000,157138000,1737888596113,261317506.83735,1.66335571,5
2025-01-26 19:50:00,KRW-BTC,2025-01-26T10:50:00,157138000,157192000,157108000,157141000,1737888899171,176715397.44486,1.12461452,5
2025-01-26 19:55:00,KRW-BTC,2025-01-26T10:55:00,157141000,157198000,157128000,157198000,1737889195549,197112734.34909,1.25434381,5
2025-01-26 20:00:00,KRW-BTC,2025-01-26T11:00:00,157198000,157298000,157174000,157221000,1737889497314,183952630.59626,1.16998261,5
2025-01-26 20:05:00,KRW-BTC,2025-01-26T11:05:00,157250000,157343000,157250000,157320000,1737889798983,113616569.86634,0.7222731,5
2025-01-26 20:10:00,KRW-BTC,2025-01-26T11:10:00,157327000,157328000,157318000,157320000,1737890092699,89262571.99635,0.56739802,5
2025-01-26 20:15:00,KRW-BTC,2025-01-26T11:15:00,157320000,157320000,157235000,157251000,1737890385675,80693731.14805,0.51297615,5
2025-01-26 20:20:00,KRW-BTC,2025-01-26T11:20:00,157304000,157304000,157108000,157170000,1737890696180,129465461.30162,0.82345655,5
2025-01-26 20:25:00,KRW-BTC,2025-01-26T11:25:00,157170000,157203000,157101000,157168000,1737890996948,93579070.39264,0.59553411,5
2025-01-26 20:30:00,KRW-BTC,2025-01-26T11:30:00,157168000,157168000,157100000,157138000,1737891297949,130934868.27044,0.83334621,5
2025-01-26 20:35:00,KRW-BTC,2025-01-26T11:35:00,157152000,157167000,157138000,157167000,1737891593892,53930287.07486,0.34318283,5
2025-01-26 20:40:00,KRW-BTC,2025-01-26T11:40:00,157167000,157195000,157143000,157143000,1737891894697,54242063.68404,0.34509808,5
2025-01-26 20:45:00,KRW-BTC,2025-01-26T11:45:00,157141000,157180000,157139000,157141000,1737892196799,163124108.37032,1.03806921,5
2025-01-26 20:50:00,KRW-BTC,2025-01-26T11:50:00,157141000,157181000,157138000,157181000,1737892494190,42105688.77583,0.26793861,5
2025-01-26 20:55:00,KRW-BTC,2025-01-26T11:55:00,157181000,157188000,157175000,157182000,1737892598000,36986385.01253,0.23530261,5
