candle_date_time_kst,market,candle_date_time_utc,open,high,low,close,timestamp,value,volume,unit
2025-01-21 18:06:00,KRW-BTC,2025-01-21T09:06:00,154499000,154713000,154429000,154597000,1737450538601,460239338.92231,2.97808089,3
2025-01-21 18:09:00,KRW-BTC,2025-01-21T09:09:00,154598000,154692000,154473000,154624000,1737450719549,304066669.81439,1.96678916,3
2025-01-21 18:12:00,KRW-BTC,2025-01-21T09:12:00,154591000,154710000,154537000,154660000,1737450899672,227177157.4077,1.46922254,3
2025-01-21 18:15:00,KRW-BTC,2025-01-21T09:15:00,154570000,154678000,154397000,154448000,1737451079539,476946845.37237,3.08627803,3
2025-01-21 18:18:00,KRW-BTC,2025-01-21T09:18:00,154435000,154487000,154331000,154487000,1737451256369,229396649.2156,1.48522651,3
2025-01-21 18:21:00,KRW-BTC,2025-01-21T09:21:00,154487000,154584000,154293000,154385000,1737451431692,368635255.22394,2.38635857,3
2025-01-21 18:24:00,KRW-BTC,2025-01-21T09:24:00,154384000,154385000,153955000,153999000,1737451619563,398852490.44474,2.58791661,3
2025-01-21 18:27:00,KRW-BTC,2025-01-21T09:27:00,153962000,154276000,153950000,154268000,1737451798690,432406643.40623,2.80490926,3
2025-01-21 18:30:00,KRW-BTC,2025-01-21T09:30:00,154273000,154435000,154266000,154412000,1737451978631,310653422.05998,2.01234474,3
2025-01-21 18:33:00,KRW-BTC,2025-01-21T09:33:00,154400000,154428000,154263000,154428000,1737452158129,274659668.17394,1.77931047,3
2025-01-21 18:36:00,KRW-BTC,2025-01-21T09:36:00,154424000,154593000,154332000,154593000,1737452339041,372629907.06751,2.41264771,3
2025-01-21 18:39:00,KRW-BTC,2025-01-21T09:39:00,154526000,154560000,154340000,154548000,1737452516258,162812636.78108,1.05385557,3
2025-01-21 18:42:00,KRW-BTC,2025-01-21T09:42:00,154464000,154560000,154440000,154560000,1737452699521,230397283.97521,1.49089936,3
2025-01-21 18:45:00,KRW-BTC,2025-01-21T09:45:00,154557000,154799000,154526000,154746000,1737452879905,322968979.96447,2.08817905,3
2025-01-21 18:48:00,KRW-BTC,2025-01-21T09:48:00,154745000,154900000,154693000,154797000,1737453059260,422127601.23279,2.72724996,3
2025-01-21 18:51:00,KRW-BTC,2025-01-21T09:51:00,154858000,154900000,154799000,154886000,1737453239281,150267521.16214,0.97027721,3
2025-01-21 18:54:00,KRW-BTC,2025-01-21T09:54:00,154886000,154893000,154818000,154861000,1737453418129,272319007.92938,1.758297,3
2025-01-21 18:57:00,KRW-BTC,2025-01-21T09:57:00,154861000,154897000,154737000,154841000,1737453599570,177630199.82019,1.14743166,3
2025-01-21 19:00:00,KRW-BTC,2025-01-21T10:00:00,154788000,155139000,154739000,155000000,1737453779736,642830547.63261,4.14860585,3
2025-01-21 19:03:00,KRW-BTC,2025-01-21T10:03:00,154898000,155298000,154838000,155276000,1737453959383,566709756.55039,3.65460138,3
2025-01-21 19:06:00,KRW-BTC,2025-01-21T10:06:00,155276000,155292000,155144000,155252000,1737454138389,485647506.01444,3.1291635,3
2025-01-21 19:09:00,KRW-BTC,2025-01-21T10:09:00,155189000,155273000,155092000,155092000,1737454319064,578659923.80592,3.72896607,3
2025-01-21 19:12:00,KRW-BTC,2025-01-21T10:12:00,155096000,155140000,154993000,155085000,1737454499209,343728462.31286,2.21699498,3
2025-01-21 19:15:00,KRW-BTC,2025-01-21T10:15:00,155085000,155150000,155040000,155067000,1737454678472,313255959.33403,2.01982173,3
2025-01-21 19:18:00,KRW-BTC,2025-01-21T10:18:00,155067000,155149000,155059000,155149000,1737454858774,121344289.09058,0.7822716,3
2025-01-21 19:21:00,KRW-BTC,2025-01-21T10:21:00,155147000,155300000,155147000,155184000,1737455039228,441414675.1139,2.84328779,3
2025-01-21 19:24:00,KRW-BTC,2025-01-21T10:24:00,155184000,155400000,155184000,155400000,1737455219859,171638715.93082,1.10526962,3
2025-01-21 19:27:00,KRW-BTC,2025-01-21T10:27:00,155400000,155799000,155333000,155739000,1737455398126,913271057.61724,5.87042836,3
2025-01-21 19:30:00,KRW-BTC,2025-01-21T10:30:00,155739000,155766000,155400000,155567000,1737455579978,929088945.75196,5.96936549,3
2025-01-21 19:33:00,KRW-BTC,2025-01-21T10:33:00,155567000,155700000,155500000,155567000,1737455759281,190804495.11164,1.22646634,3
2025-01-21 19:36:00,KRW-BTC,2025-01-21T10:36:00,155594000,155697000,155385000,155388000,1737455939068,599992381.61109,3.85657366,3
