candle_date_time_kst,market,candle_date_time_utc,open,high,low,close,timestamp,value,volume,unit
2025-01-27 19:55:00,KRW-BTC,2025-01-27T10:55:00,152218000,152222000,151970000,151978000,1737975599978,971936426.91793,6.39234553,5
2025-01-27 20:00:00,KRW-BTC,2025-01-27T11:00:00,151978000,152343000,151903000,152131000,1737975898036,2240015452.67031,14.73728266,5
2025-01-27 20:05:00,KRW-BTC,2025-01-27T11:05:00,152136000,152297000,151904000,152140000,1737976198936,691361195.0675,4.54729347,5
2025-01-27 20:10:00,KRW-BTC,2025-01-27T11:10:00,152141000,152201000,151987000,152021000,1737976498328,707729695.64358,4.65322025,5
2025-01-27 20:15:00,KRW-BTC,2025-01-27T11:15:00,152089000,152425000,152000000,152233000,1737976797258,633004619.60189,4.15909696,5
2025-01-27 20:20:00,KRW-BTC,2025-01-27T11:20:00,152233000,152510000,152232000,152483000,1737977098697,499419494.82952,3.27791582,5
2025-01-27 20:25:00,KRW-BTC,2025-01-27T11:25:00,152489000,152520000,152219000,152307000,1737977399897,498467310.76939,3.27182128,5
2025-01-27 20:30:00,KRW-BTC,2025-01-27T11:30:00,152307000,152519000,152282000,152470000,1737977697057,442377563.95248,2.90335764,5
2025-01-27 20:35:00,KRW-BTC,2025-01-27T11:35:00,152471000,152471000,152200000,152245000,1737977999518,545805085.86068,3.58429278,5
2025-01-27 20:40:00,KRW-BTC,2025-01-27T11:40:00,152245000,152245000,152162000,152164000,1737978297577,335147648.2866,2.20199176,5
2025-01-27 20:45:00,KRW-BTC,2025-01-27T11:45:00,152162000,152297000,152126000,152201000,1737978595956,387733631.7036,2.54804725,5
2025-01-27 20:50:00,KRW-BTC,2025-01-27T11:50:00,152201000,152201000,152071000,152084000,1737978898487,334311591.38152,2.19754388,5
2025-01-27 20:55:00,KRW-BTC,2025-01-27T11:55:00,152084000,152130000,152000000,152000000,1737979199841,366874335.22441,2.41336655,5
2025-01-27 21:00:00,KRW-BTC,2025-01-27T12:00:00,152000000,152082000,151943000,152006000,1737979495778,385043041.24766,2.5329515,5
2025-01-27 21:05:00,KRW-BTC,2025-01-27T12:05:00,152035000,152410000,152006000,152392000,1737979751000,349087461.51622,2.29297165,5
